EmployeeID	Survey	I would recommend my friends or Family to work at TheCompany	I feel engaged in my work.	I believe Leadership cares about the employees at TheCompany	My manager supports me in my role at TheCompany	"TheCompany cares about Diversity, Equity and Inclusion."	I believe there is room for me to grow at TheCompany	I work on interesting projects.	My manager motivates me to work hard.	I am motivated to work hard at TheCompany.	I believe I am recognized for the work I do.	I believe there are good career opportunities for me at TheCompany.	I believe TheCompany is in a great position in the market for the next few years to be succesful.	I plan on staying with TheCompany for at least 2 more years.	I believe I am fairly compensated for my work.	I believe there is little to not politics at TheCompany	I feel comfortable going to someone in leadership if there is an issue.	My values align with the culture at TheCompany	I know what TheCompany values are at TheCompany	I feel like I can take off my accrued Paid Time Off (PTO)/Vacation without feeling guilty	What does TheCompany do well?	What can TheCompany improve?
100079	2023Q2	4	2	4	4	2	3	2	4	3	4	2	2	3	4	4	4	4	2	3		
100080	2023Q2	3	4	1	3	4	4	4	2	3	3	3	4	1	3	5	4	4	3	2		
100082	2023Q2	1	4	4	3	2	3	4	2	2	2	3	1	2	1	4	3	4	4	2		
100089	2023Q2	2	2	3	2	2	3	4	4	1	1	2	2	3	3	4	3	4	4	2		
100090	2023Q2	3	2	3	1	3	3	4	2	3	2	2	4	2	3	3	2	3	4	4		
100095	2023Q2	3	4	4	4	1	2	3	4	4	4	4	4	4	3	4	3	3	3	3		
100099	2023Q2	3	3	3	4	1	3	2	1	3	4	3	2	2	2	4	1	3	1	2		
100103	2023Q2	1	2	3	3	3	2	4	4	4	4	2	4	1	5	4	2	4	2	2		
100106	2023Q2	3	2	3	3	2	5	3	2	4	4	4	1	2	4	4	1	2	2	4		
100109	2023Q2	2	3	3	2	3	3	3	2	2	1	2	2	4	4	4	4	4	4	4		
100112	2023Q2	2	1	4	4	3	3	4	3	4	2	4	1	3	4	4	1	3	3	4		
100113	2023Q2	3	4	4	4	3	3	4	1	2	4	3	4	4	3	4	4	4	3	4		
100114	2023Q2	4	4	4	1	4	3	4	3	4	2	4	4	4	4	1	2	2	4	3		
100116	2023Q2	3	5	4	3	4	4	2	3	3	4	3	4	3	4	2	4	3	4	3		
100125	2023Q2	1	2	3	4	2	4	2	1	1	3	2	4	3	2	2	4	2	3	3		
100127	2023Q2	4	3	4	2	2	3	2	2	4	2	3	1	2	3	4	1	1	4	4		
100128	2023Q2	3	4	4	1	4	4	4	4	1	3	2	4	3	4	4	4	2	2	2		
100131	2023Q2	3	3	2	2	2	3	4	1	2	2	4	3	3	4	3	3	2	4	2		
100132	2023Q2	2	4	2	2	4	2	2	4	4	3	3	3	2	2	4	1	4	3	3		
100134	2023Q2	1	2	2	2	2	2	2	3	2	2	2	3	3	3	3	4	3	2	2		
100137	2023Q2	3	2	4	1	2	3	4	1	4	2	3	3	2	4	2	4	4	4	3		
100138	2023Q2	1	3	1	1	4	4	2	3	3	3	3	1	2	1	4	4	4	1	3		
100149	2023Q2	3	3	3	4	3	3	2	2	1	4	4	3	2	3	1	2	2	2	2		
100152	2023Q2	4	2	4	2	2	4	3	2	3	3	4	3	1	1	2	3	2	4	4		
100155	2023Q2	4	4	3	2	2	4	2	3	4	1	4	4	4	4	4	4	1	1	3		
100157	2023Q2	4	3	3	2	2	1	4	1	3	2	3	4	4	3	2	4	1	3	4		
100162	2023Q2	4	1	4	2	2	4	2	4	4	3	3	2	4	4	2	3	2	4	2		
100171	2023Q2	4	2	2	4	3	2	4	2	3	2	4	2	2	4	3	4	2	2	2		
100172	2023Q2	2	2	3	1	4	2	1	4	2	3	4	2	1	3	1	4	2	4	3		
100177	2023Q2	3	4	4	1	4	3	1	1	1	3	4	2	3	4	2	4	2	3	1		
100181	2023Q2	3	2	3	2	2	2	3	4	2	4	3	3	2	4	4	4	4	4	4		
100182	2023Q2	3	4	4	3	2	3	4	4	2	3	2	1	4	3	3	3	4	3	4		
100189	2023Q2	4	3	4	4	3	4	4	4	3	4	2	2	4	4	2	4	3	3	4		
100190	2023Q2	4	2	4	3	4	3	4	4	4	2	2	3	4	3	4	2	2	2	4		
100191	2023Q2	3	2	2	3	3	4	4	2	3	2	2	2	1	3	4	2	3	2	4		
100194	2023Q2	4	4	2	2	2	2	3	4	4	2	4	4	4	4	3	4	3	2	2		
100198	2023Q2	3	4	4	4	4	4	3	2	4	2	4	3	2	4	3	1	2	2	4		
100203	2023Q2	4	4	3	3	3	4	4	4	4	2	3	4	3	2	2	4	3	2	4		
100204	2023Q2	4	2	3	4	5	4	3	4	2	1	4	3	4	4	4	2	3	2	4		
100205	2023Q2	3	1	3	4	3	3	3	3	3	2	3	2	3	3	1	2	2	4	4		
100206	2023Q2	2	3	2	2	3	1	4	1	1	2	2	2	4	4	2	4	3	4	4		
100208	2023Q2	2	3	3	3	3	4	1	3	4	4	2	5	3	2	2	2	4	3	4		
100210	2023Q2	3	2	3	2	4	2	2	2	4	4	1	3	3	3	3	1	4	4	2		
100211	2023Q2	4	4	4	3	4	2	1	4	3	3	4	4	3	4	3	4	3	3	4		
100212	2023Q2	3	4	4	4	3	4	2	3	3	4	2	1	3	3	4	3	4	4	3		
100213	2023Q2	3	4	2	2	2	4	4	3	2	3	2	3	4	2	4	3	3	4	2		
100214	2023Q2	3	2	1	4	2	4	2	3	3	1	4	4	2	4	2	2	4	2	3		
100215	2023Q2	1	3	1	4	1	4	4	3	4	1	4	2	4	2	4	3	3	3	3		
100218	2023Q2	2	4	4	4	2	2	3	1	3	2	4	2	3	2	3	2	1	3	4		
100219	2023Q2	2	4	3	2	4	4	4	2	2	3	4	4	4	3	2	4	1	3	2		
100220	2023Q2	3	4	4	3	3	4	3	4	4	4	4	2	3	4	2	3	4	4	3		
100221	2023Q2	2	4	4	4	4	3	2	3	4	4	4	3	2	3	3	2	4	4	4		
100223	2023Q2	2	1	3	2	3	4	3	4	3	3	2	3	2	4	3	3	3	4	4		
100224	2023Q2	4	2	4	2	2	4	4	3	3	1	3	3	3	1	2	3	4	3	4		
100227	2023Q2	3	1	4	4	2	3	3	2	2	3	2	5	4	2	2	4	3	3	3		
100228	2023Q2	2	4	4	3	4	4	1	1	3	2	2	2	3	3	1	1	3	3	3		
100229	2023Q2	2	2	1	4	3	4	4	3	4	1	4	4	2	3	3	3	5	2	3		
100231	2023Q2	3	4	2	2	2	4	4	4	4	3	4	1	4	2	4	2	2	4	3		
100232	2023Q2	4	4	3	4	2	4	3	4	2	3	1	1	4	1	4	4	4	4	4		
100235	2023Q2	1	3	4	2	2	2	1	3	3	2	3	1	4	1	3	4	1	3	4		
100237	2023Q2	3	4	3	4	3	3	3	2	4	2	4	3	4	3	4	3	3	2	4		
100239	2023Q2	2	2	4	4	1	3	3	1	4	4	3	3	2	3	2	3	4	4	3		
100240	2023Q2	1	2	1	3	2	4	4	3	4	3	4	4	2	1	3	3	4	4	2		
100241	2023Q2	1	4	4	2	3	2	2	4	2	2	2	4	4	1	2	3	2	1	1		
100243	2023Q2	2	4	2	4	2	2	1	3	3	4	3	3	3	3	2	2	4	4	3		
100246	2023Q2	3	3	3	4	4	2	4	4	2	4	3	3	2	4	3	3	2	3	3		
100247	2023Q2	4	4	3	3	2	3	3	3	3	4	4	2	2	2	4	3	3	3	1		
100248	2023Q2	2	2	1	3	4	3	4	4	2	3	4	1	2	4	2	3	3	4	3		
100249	2023Q2	2	3	4	2	4	1	4	4	4	1	2	4	1	3	3	2	3	4	2		
100254	2023Q2	4	1	1	4	4	4	4	4	4	3	4	4	1	1	4	4	3	1	2		
100255	2023Q2	3	3	3	1	3	2	4	3	4	5	2	3	4	4	2	2	3	3	3		
100257	2023Q2	4	2	4	4	1	4	4	1	4	4	1	2	1	2	3	4	1	2	2		
100258	2023Q2	3	4	3	4	4	2	2	4	4	5	3	4	4	3	1	4	1	3	3		
100259	2023Q2	3	4	3	1	4	3	4	2	4	4	3	1	3	4	2	1	2	2	3		
100261	2023Q2	3	4	2	4	1	1	1	4	4	4	2	4	3	3	3	3	4	5	1		
100263	2023Q2	4	4	3	4	4	4	3	4	4	4	3	2	4	2	1	2	4	4	3		
100265	2023Q2	4	4	4	4	4	1	3	2	3	3	3	3	4	2	2	2	3	2	2		
100266	2023Q2	5	2	1	2	3	4	1	3	4	2	3	3	3	2	4	1	3	3	4		
100267	2023Q2	2	2	3	2	4	3	1	3	4	3	3	4	2	3	4	4	4	2	4		
100268	2023Q2	4	1	4	3	3	2	2	4	4	3	1	4	3	3	2	2	4	4	4		
100269	2023Q2	3	4	4	4	1	3	4	3	3	4	4	3	3	3	4	3	4	3	2		
100274	2023Q2	3	2	4	2	2	3	2	3	4	1	4	4	4	2	4	3	3	3	3		
100277	2023Q2	1	4	3	4	3	4	4	3	2	1	4	4	3	4	4	3	1	4	3		
100279	2023Q2	2	2	1	3	3	2	3	3	4	4	2	4	1	4	2	1	4	3	4		
100282	2023Q2	1	3	4	1	2	4	2	3	4	4	4	3	4	2	4	3	2	4	4		
100284	2023Q2	2	3	1	2	2	4	4	2	3	3	4	2	3	1	4	3	2	2	4		
100285	2023Q2	5	4	1	2	2	4	3	3	2	2	4	3	3	4	4	3	1	2	1		
100287	2023Q2	2	4	2	4	4	3	2	4	3	4	4	3	3	2	4	1	4	2	1		
100298	2023Q2	3	3	4	3	4	2	3	4	4	2	4	4	2	2	4	4	1	4	3		
100300	2023Q2	4	4	4	2	2	1	3	3	4	4	1	3	5	3	3	4	3	1	1		
100307	2023Q2	5	3	4	3	4	3	2	2	2	4	2	4	4	3	3	4	1	3	4		
100313	2023Q2	1	4	4	4	2	3	4	3	4	4	2	2	1	4	1	4	3	3	4		
100318	2023Q2	4	3	4	3	3	1	4	3	1	2	3	4	4	1	4	1	2	2	4		
100326	2023Q2	3	4	3	3	3	3	4	1	1	2	4	3	4	4	3	4	3	3	2		
100329	2023Q2	2	4	3	4	4	4	3	3	3	3	3	2	1	3	3	1	2	4	3		
100330	2023Q2	3	4	3	3	4	3	2	2	4	4	1	2	3	2	4	3	3	1	4		
100332	2023Q2	2	4	1	1	1	3	3	2	2	4	4	3	3	3	2	1	4	4	2		
100339	2023Q2	2	3	4	4	2	1	3	2	1	4	2	4	3	1	3	3	4	4	3		
100341	2023Q2	4	3	2	3	3	1	3	4	4	4	3	3	2	4	4	4	4	3	4		
100344	2023Q2	3	3	3	3	4	4	3	4	4	3	4	4	2	2	3	1	3	4	3		
100345	2023Q2	4	1	4	2	2	4	4	4	3	4	3	1	4	4	4	3	3	4	1		
100351	2023Q2	1	3	2	4	3	2	3	2	4	3	1	4	3	4	2	2	3	3	1		
100352	2023Q2	4	2	4	2	2	2	3	4	1	4	4	3	2	4	2	2	4	2	4		
100353	2023Q2	4	2	4	3	4	5	2	4	4	4	1	3	2	3	3	2	3	2	3		
100354	2023Q2	4	4	4	4	1	2	4	2	3	3	3	2	3	3	2	2	3	4	3		
100357	2023Q2	2	3	1	4	2	2	2	3	3	2	4	3	4	4	3	4	1	3	3		
100358	2023Q2	1	4	3	2	1	3	2	4	1	4	2	4	3	4	2	4	4	4	4		
100361	2023Q2	4	4	2	4	2	4	4	3	3	3	2	4	4	1	2	4	3	2	4		
100363	2023Q2	4	4	3	4	3	3	3	3	4	2	1	2	3	3	4	3	2	2	3		
100364	2023Q2	4	4	2	4	4	2	3	4	4	3	2	5	1	4	4	3	1	2	3		
100366	2023Q2	4	4	4	4	4	4	4	2	3	3	2	4	1	4	4	4	2	2	2		
100368	2023Q2	4	4	3	3	4	2	4	4	3	4	2	3	4	2	2	4	2	2	3		
100372	2023Q2	3	1	4	4	3	2	2	2	3	3	3	2	4	2	2	3	4	2	5		
100378	2023Q2	2	3	3	2	3	3	2	4	1	4	3	4	3	3	1	3	4	1	3		
100382	2023Q2	3	4	4	4	2	4	2	4	4	4	2	1	4	2	2	3	4	2	2		
100384	2023Q2	3	4	4	3	4	2	3	3	3	4	4	3	1	4	1	1	2	2	3		
100387	2023Q2	4	3	2	3	2	4	4	1	4	3	1	1	3	3	5	3	4	4	3		
100390	2023Q2	3	2	4	4	1	2	4	5	3	2	2	3	3	1	2	1	1	1	4		
100392	2023Q2	3	4	4	4	3	2	1	2	3	4	4	2	2	3	4	5	4	2	3		
100393	2023Q2	1	2	4	3	4	5	1	4	4	3	1	2	2	4	2	4	2	1	4		
100396	2023Q2	2	4	1	1	3	2	4	2	1	1	4	3	2	3	4	1	3	2	2		
100399	2023Q2	3	2	2	4	4	3	2	1	4	2	3	4	2	3	3	2	1	3	2		
100400	2023Q2	2	4	4	2	3	2	2	4	3	3	5	4	5	3	1	3	4	4	2		
100402	2023Q2	3	3	4	3	4	4	3	3	2	1	3	4	4	4	4	2	4	3	4		
100403	2023Q2	2	4	4	4	2	2	1	1	4	2	2	2	2	2	4	4	4	4	4		
100404	2023Q2	4	4	2	4	2	4	4	2	2	2	4	2	3	4	3	1	1	4	4		
100407	2023Q2	1	1	4	3	4	3	3	3	4	1	4	4	2	3	3	1	4	1	3		
100409	2023Q2	4	2	2	4	2	2	3	3	4	2	3	4	3	4	1	2	1	3	3		
100410	2023Q2	2	3	4	4	3	1	2	3	2	4	4	3	3	3	4	3	2	1	3		
100415	2023Q2	1	3	4	3	3	2	3	4	4	3	3	4	2	4	2	4	1	4	4		
100416	2023Q2	2	2	3	1	3	4	3	1	2	4	4	2	3	2	4	4	3	4	1		
100417	2023Q2	1	5	3	2	3	4	3	4	2	4	2	3	2	2	4	1	4	2	4		
100418	2023Q2	4	2	4	4	2	4	4	4	3	3	4	4	3	4	2	2	4	2	2		
100419	2023Q2	3	1	3	1	3	2	3	2	4	3	3	3	1	4	4	2	4	2	4		
100420	2023Q2	3	1	3	4	4	2	2	2	4	4	4	2	2	3	4	2	4	3	1		
100428	2023Q2	4	4	1	4	3	3	4	4	3	1	2	3	1	2	2	1	2	4	4		
100429	2023Q2	4	2	3	3	3	4	4	3	4	3	1	3	1	3	3	4	1	2	1		
100432	2023Q2	3	4	3	4	2	2	4	1	4	3	4	4	3	1	4	3	4	3	2		
100435	2023Q2	3	4	3	2	2	2	4	3	2	3	4	1	3	2	2	2	4	2	3		
100440	2023Q2	4	4	4	4	2	3	3	4	4	4	1	3	2	4	3	2	2	4	4		
100442	2023Q2	3	3	2	2	4	4	1	4	1	2	2	3	4	2	4	2	4	4	2		
100445	2023Q2	5	1	4	4	4	3	3	4	4	3	1	3	3	3	4	4	3	3	4		
100454	2023Q2	3	2	3	3	2	3	4	2	3	2	4	4	3	4	4	2	4	1	3		
100455	2023Q2	4	3	4	4	3	5	2	4	1	4	2	4	2	4	4	4	2	4	4		
100458	2023Q2	2	3	2	3	1	1	3	4	2	4	2	4	2	3	4	3	2	4	4		
100461	2023Q2	1	2	2	1	4	2	4	3	2	3	4	3	2	4	4	4	4	4	3		
100465	2023Q2	1	2	3	2	4	2	4	4	1	2	3	3	4	2	4	3	4	3	2		
100466	2023Q2	2	4	3	4	2	2	1	3	3	4	2	4	3	3	4	2	2	3	2		
100469	2023Q2	2	2	2	1	1	3	4	2	2	3	4	2	2	2	4	3	4	3	2		
100470	2023Q2	4	2	3	4	3	1	4	2	4	4	3	4	4	4	2	3	2	4	4		
100472	2023Q2	2	3	3	3	1	2	4	4	2	4	2	2	3	2	4	3	4	3	3		
100474	2023Q2	4	2	4	1	2	4	3	3	3	2	4	1	4	3	2	3	3	4	4		
100476	2023Q2	3	3	1	4	2	3	3	3	1	3	4	4	1	4	3	2	4	4	3		
100479	2023Q2	2	3	3	2	2	3	4	4	4	2	4	2	3	2	1	3	2	4	4		
100481	2023Q2	4	3	4	2	2	2	4	4	3	2	4	4	3	3	2	4	1	3	2		
100482	2023Q2	4	4	3	3	4	2	2	2	1	4	1	4	2	3	3	3	3	4	3		
100483	2023Q2	4	3	2	1	4	4	4	3	4	4	2	4	4	3	3	3	4	3	4		
100485	2023Q2	3	4	4	3	4	4	4	4	2	4	4	4	4	4	4	2	4	1	3		
100486	2023Q2	3	2	2	2	4	4	3	4	3	3	4	3	4	4	3	2	4	4	4		
100489	2023Q2	2	3	2	2	3	2	4	2	3	2	3	2	4	4	1	3	4	4	1		
100492	2023Q2	4	4	3	4	3	2	3	3	4	4	4	2	1	2	2	4	2	3	4		
100493	2023Q2	3	3	4	2	3	3	2	4	2	3	2	3	4	4	2	2	4	4	3		
100495	2023Q2	2	5	3	4	3	2	4	4	3	4	2	4	3	3	3	3	4	4	2		
100496	2023Q2	1	4	3	4	1	1	2	4	3	1	4	2	2	4	3	4	4	3	3		
100497	2023Q2	3	3	2	2	4	1	3	4	1	4	3	3	4	4	3	2	1	2	2		
100499	2023Q2	1	4	3	4	1	2	3	4	1	3	3	2	4	3	3	1	4	1	4		
100502	2023Q2	4	4	3	2	4	3	2	4	3	2	4	3	2	4	2	3	2	2	4		
100503	2023Q2	3	4	4	3	3	4	2	1	2	4	1	3	2	2	4	2	2	2	1		
100505	2023Q2	4	4	2	2	3	2	1	4	4	3	3	3	3	4	2	1	4	4	4		
100506	2023Q2	4	2	3	2	1	2	1	4	4	4	3	4	2	1	2	3	3	4	1		
100507	2023Q2	3	3	2	2	1	3	4	4	3	2	3	4	4	4	2	3	2	2	1		
100509	2023Q2	2	1	4	3	3	4	2	4	4	2	3	3	1	1	4	2	4	4	4		
100511	2023Q2	4	2	2	3	4	3	3	3	2	2	2	2	1	4	2	4	3	2	3		
100512	2023Q2	3	4	2	3	4	3	3	4	3	4	2	3	2	2	3	4	3	3	3		
100515	2023Q2	4	4	2	2	3	3	2	3	2	3	3	4	3	2	2	2	2	4	3		
100516	2023Q2	4	3	3	3	3	2	4	4	3	1	1	4	4	3	4	4	4	2	2		
100519	2023Q2	4	2	3	3	4	4	3	2	4	2	4	2	5	4	1	4	2	1	2		
100520	2023Q2	2	4	2	4	4	4	4	4	5	3	2	4	2	4	4	3	2	2	3		
100521	2023Q2	4	4	2	3	2	4	2	4	4	3	3	4	2	3	4	3	4	2	4		
100523	2023Q2	3	2	4	2	2	3	2	4	3	4	2	2	2	2	2	3	4	3	2		
100524	2023Q2	4	2	4	3	4	2	1	3	2	4	4	2	3	4	2	4	4	3	4		
100527	2023Q2	3	1	2	2	3	2	3	2	4	3	4	2	4	4	3	3	4	1	1		
100528	2023Q2	3	3	4	2	2	4	3	4	3	3	2	4	4	4	3	3	3	4	4		
100530	2023Q2	2	2	4	2	4	3	1	2	2	4	3	4	1	3	1	2	3	3	2		
100532	2023Q2	1	4	2	4	2	3	2	2	3	5	2	3	3	4	4	2	2	3	4		
100537	2023Q2	4	4	3	3	1	2	1	4	3	1	2	4	4	3	3	2	2	2	4		
100538	2023Q2	4	4	1	2	4	4	4	5	2	3	4	2	4	4	1	2	4	4	4		
100540	2023Q2	2	4	3	4	4	3	4	2	4	4	4	1	3	4	5	2	4	3	3		
100542	2023Q2	4	3	2	4	2	4	2	4	3	2	2	1	3	2	4	1	4	4	4		
100545	2023Q2	3	3	1	4	1	2	2	1	2	2	2	3	4	2	4	3	2	4	4		
100551	2023Q2	3	3	3	4	3	2	2	2	3	4	2	4	5	2	2	2	3	4	4		
100552	2023Q2	4	4	3	4	4	4	4	4	2	2	2	3	1	2	4	3	4	3	4		
100556	2023Q2	4	2	4	2	4	2	4	4	4	3	2	3	2	4	2	3	3	3	3		
100559	2023Q2	3	4	4	3	4	2	4	2	4	4	3	4	2	2	4	2	1	3	3		
100561	2023Q2	2	4	3	3	2	2	2	3	3	3	4	3	3	3	2	1	1	3	2		
100562	2023Q2	3	3	2	4	3	4	2	2	4	1	5	2	3	2	3	4	4	4	4		
100565	2023Q2	3	4	2	4	2	4	4	4	3	3	1	3	4	3	2	2	4	4	3		
100566	2023Q2	2	4	3	4	2	4	2	2	4	3	3	3	4	3	4	4	3	3	4		
100567	2023Q2	4	4	2	2	4	2	3	3	3	3	2	3	3	3	3	2	2	2	4		
100568	2023Q2	3	4	2	4	3	3	3	2	4	4	4	4	2	3	2	2	3	2	3		
100569	2023Q2	3	2	4	3	2	4	3	2	1	3	3	4	3	3	3	1	4	3	2		
100570	2023Q2	4	1	4	3	4	3	3	4	1	2	2	4	4	2	1	2	1	4	2		
100572	2023Q2	4	4	4	2	3	1	4	4	2	4	2	2	2	3	2	2	4	2	2		
100576	2023Q2	4	3	3	4	4	4	3	4	3	4	4	3	3	1	4	3	4	4	4		
100578	2023Q2	2	2	2	4	1	4	3	2	4	4	3	2	4	3	3	4	3	3	2		
100579	2023Q2	4	2	4	4	3	4	3	3	2	3	4	4	1	1	2	1	4	4	1		
100584	2023Q2	2	2	3	3	2	4	1	4	4	4	2	4	1	3	3	4	1	3	3		
100585	2023Q2	4	2	1	1	2	3	3	4	4	3	3	1	4	3	1	4	3	4	4		
100587	2023Q2	3	4	4	3	2	1	4	2	1	4	3	3	2	4	3	4	2	2	4		
100588	2023Q2	2	2	2	2	4	5	4	4	1	4	3	3	4	3	3	3	4	3	3		
100591	2023Q2	3	4	3	3	3	4	4	4	3	2	1	1	4	2	1	3	4	4	4		
100594	2023Q2	3	3	3	3	3	4	4	3	4	2	2	2	3	4	4	3	3	1	3		
100595	2023Q2	2	3	3	4	4	2	2	4	3	4	2	5	4	4	4	1	2	2	2		
100597	2023Q2	2	1	4	4	2	2	3	3	3	4	4	2	3	1	2	3	4	4	1		
100598	2023Q2	2	4	4	1	3	4	4	2	2	4	3	4	1	3	4	4	4	1	4		
100599	2023Q2	1	1	4	4	4	2	2	3	3	4	2	4	3	4	1	2	3	3	1		
100602	2023Q2	1	3	4	4	4	1	2	3	4	3	2	1	4	2	4	2	3	2	4		
100604	2023Q2	3	3	3	3	4	3	3	2	3	4	3	2	4	1	3	3	3	4	3		
100605	2023Q2	2	4	3	4	4	4	4	4	4	2	2	3	2	4	3	4	3	3	4		
100607	2023Q2	4	3	4	3	4	3	5	2	2	2	4	2	2	3	4	4	4	4	1		
100610	2023Q2	2	4	2	3	2	4	2	3	2	2	1	3	4	3	4	3	2	4	3		
100617	2023Q2	2	1	3	3	1	4	4	4	2	4	3	4	3	3	1	4	1	4	4		
100618	2023Q2	2	4	4	2	4	4	2	4	2	4	4	4	4	3	2	2	3	2	3		
100620	2023Q2	3	4	4	3	4	4	3	3	3	4	4	4	3	1	4	3	2	2	4		
100622	2023Q2	3	2	2	3	1	3	3	3	4	3	4	3	2	3	3	4	2	4	2		
100623	2023Q2	2	3	2	4	2	2	3	1	1	2	3	3	3	4	2	1	2	4	4		
100624	2023Q2	3	3	4	2	3	3	4	2	4	1	2	2	3	2	3	4	4	3	3		
100625	2023Q2	4	3	3	3	2	4	3	3	4	4	1	4	5	3	1	4	3	4	3		
100626	2023Q2	3	4	5	2	4	3	4	3	3	1	3	2	3	4	2	2	3	3	3		
100627	2023Q2	2	2	3	3	3	4	4	3	3	4	4	4	2	2	3	3	4	3	2		
100628	2023Q2	2	4	3	3	4	2	1	3	2	3	4	3	3	3	1	2	1	2	1		
100629	2023Q2	2	2	2	4	2	1	1	2	4	3	4	2	3	4	4	3	3	3	4		
100630	2023Q2	3	4	4	2	3	4	4	3	4	2	4	1	1	4	3	4	2	2	2		
100631	2023Q2	3	4	3	3	4	4	2	3	4	4	4	4	3	4	2	1	5	1	4		
100632	2023Q2	1	2	3	3	4	3	2	4	3	4	1	3	1	3	1	2	4	4	2		
100636	2023Q2	3	1	3	3	1	3	2	3	2	2	2	4	4	4	1	4	4	4	3		
100638	2023Q2	4	1	2	2	4	1	4	3	4	3	3	4	2	4	3	4	4	4	3		
100639	2023Q2	2	2	1	3	1	1	4	4	3	2	4	2	4	4	3	4	3	2	3		
100640	2023Q2	2	5	2	4	3	1	1	2	4	2	3	4	3	2	4	4	4	4	2		
100645	2023Q2	4	3	4	4	3	3	4	4	3	4	4	2	3	3	2	4	1	4	3		
100647	2023Q2	1	2	1	3	4	3	2	5	3	4	4	4	4	4	4	4	4	2	2		
100649	2023Q2	2	2	2	4	2	4	2	4	1	4	4	3	4	4	3	4	1	3	3		
100653	2023Q2	2	4	4	1	3	3	2	2	2	1	3	4	4	4	3	2	4	4	4		
100655	2023Q2	2	3	3	3	3	3	3	4	1	4	4	4	4	4	4	4	3	4	2		
100656	2023Q2	3	4	2	3	2	2	3	3	1	4	2	1	3	3	3	2	1	1	4		
100657	2023Q2	2	3	3	3	3	3	2	4	2	2	4	4	2	3	3	3	4	3	4		
100662	2023Q2	2	2	3	4	4	4	3	3	3	2	1	2	3	2	1	3	4	4	4		
100665	2023Q2	3	3	4	4	2	2	3	2	3	2	2	3	4	4	4	2	4	4	2		
100666	2023Q2	2	4	3	4	3	4	3	3	4	4	3	2	2	3	5	4	3	3	2		
100667	2023Q2	2	2	3	2	4	4	4	4	4	3	4	3	3	4	2	3	3	3	5		
100668	2023Q2	3	4	4	3	4	3	4	3	4	2	4	2	3	1	3	4	4	3	2		
100669	2023Q2	3	4	4	2	2	2	3	2	2	4	3	2	4	3	2	3	1	2	5		
100670	2023Q2	3	2	4	4	2	4	3	4	1	3	3	2	2	4	4	4	3	4	2		
100671	2023Q2	3	2	1	1	1	3	3	2	4	2	4	4	1	2	1	1	4	4	3		
100676	2023Q2	1	3	2	4	4	2	3	2	2	3	2	3	4	2	3	1	4	4	2		
100677	2023Q2	4	1	4	4	4	4	4	3	1	4	4	1	2	2	4	2	4	4	2		
100686	2023Q2	2	2	4	2	3	4	2	4	4	4	3	4	2	4	4	3	2	3	3		
100688	2023Q2	3	3	2	2	2	2	4	4	1	3	3	2	2	3	4	2	2	3	3		
