EmployeeID	Gender	Gender Identity	Race/Ethnicity	Veteran	Disability	Education	Sexual Orientation
100042	male	male	White	0	0	Undergraduate	Heterosexual
100043	male	male	White	0	0	High School	Missing
100044	male	male	White	0	0	Undergraduate	Heterosexual
100045	male	male	White	0	0	Undergraduate	Heterosexual
100046	female	Prefer not to say	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100047	female	female	White	0	0	Undergraduate	Heterosexual
100048	male	male	White	0	0	Undergraduate	Heterosexual
100049	female	female	Asian	0	0	Undergraduate	Heterosexual
100050	male	male	White	0	0	Undergraduate	Heterosexual
100051	male	male	White	0	0	Undergraduate	Heterosexual
100052	female	female	Asian	0	0	Undergraduate	Heterosexual
100053	male	male	Asian	0	0	Undergraduate	Heterosexual
100054	male	Prefer not to say	White	0	0	Undergraduate	Missing
100055	male	male		0	0	Undergraduate	Heterosexual
100056	female	female	Asian	0	0	Undergraduate	Heterosexual
100057	male	male	White	0	0	Undergraduate	Heterosexual
100058	female	female	White	0	0	Undergraduate	Heterosexual
100059	female	female	Asian	0	0	High School	Missing
100060	male	male	Asian	0	0	Undergraduate	Heterosexual
100061	female	Prefer not to say	Asian	0	0	Undergraduate	Missing
100062	male	male	White	0	0	Undergraduate	Heterosexual
100063	male	Prefer not to say		0	0	Undergraduate	Heterosexual
100064	male	male	Asian	0	0	Undergraduate	Heterosexual
100065	male	Non-binary/third gender	White	0	0	High School	Missing
100066	male	male	Asian	1	0	Undergraduate	Heterosexual
100067	male	male	White	0	0	Some College	Other LGBTQ+
100068	male	male	White	0	0	Undergraduate	Heterosexual
100069	male	male	White	0	0	High School	Missing
100070	female	female	White	0	0	Undergraduate	Heterosexual
100071	female	female	White	0	0	High School	Missing
100072	male	male	White	0	0	Undergraduate	Heterosexual
100073	male	male	White	0	0	Graduate	Heterosexual
100074	male	male	White	0	0	High School	Missing
100075	male	male	White	0	0	Undergraduate	Missing
100076	female	female	White	0	0	Undergraduate	Heterosexual
100077	female	female	Black or African American	0	0	Undergraduate	Heterosexual
100078	male	male	Asian	0	0	Undergraduate	Heterosexual
100079	female	female	Asian	0	0	Graduate	Heterosexual
100080	male	male	Asian	0	0	PhD	Gay
100081	male	male	Black or African American	0	0	Undergraduate	Missing
100082	female	female	White	0	0	Undergraduate	Heterosexual
100083	female	female	White	0	0	Undergraduate	Heterosexual
100084	male	male	White	1	0	Undergraduate	Heterosexual
100085	male	male	White	0	1	Undergraduate	Heterosexual
100086	male	male	White	1	0	Undergraduate	Heterosexual
100087	female	female	Native American or Alaska Native	0	0	High School	Missing
100088	female	female	White	0	0	Undergraduate	Heterosexual
100089	female	female	White	0	0	Undergraduate	Heterosexual
100090	female	female	White	0	0	High School	Missing
100091	female	female	Black or African American	0	0	Undergraduate	Heterosexual
100092	male	male	White	0	0	High School	Missing
100093	male	male	White	0	0	Undergraduate	Heterosexual
100094	female	female	White	0	0	Undergraduate	Heterosexual
100095	male	male	White	0	0	High School	Missing
100096	female	female	White	0	0	Undergraduate	Heterosexual
100097	female	female	White	0	1	Undergraduate	Heterosexual
100098	male	Prefer not to say	White	0	0	High School	Missing
100099	male	Prefer to self-describe	White	0	0	Undergraduate	Heterosexual
100100	female	female	White	0	0	High School	Missing
100101	male	male	Asian	0	0	High School	Missing
100102	female	female	Black or African American	0	0	Undergraduate	Heterosexual
100103	female	female	White	0	0	Undergraduate	Heterosexual
100104	male	male	Asian	0	0	Undergraduate	Heterosexual
100105	male	male	White	0	0	Undergraduate	Heterosexual
100106	female	female		0	0	Graduate	Heterosexual
100107	male	male	Asian	0	0	Undergraduate	Missing
100108	male	male	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100109	female	female	White	0	0	Undergraduate	Heterosexual
100110	female	female	Asian	0	0	High School	Missing
100111	female	female	White	0	0	Undergraduate	Heterosexual
100112	female	female	Two or More Races	0	1	Undergraduate	Heterosexual
100113	male	male	White	0	0	High School	Missing
100114	female	female		0	0	Undergraduate	Heterosexual
100115	male	male	White	0	0	Some College	Gay
100116	female	female	Black or African American	0	0	High School	Missing
100117	female	female	Asian	0	0	PhD	Lesbian
100118	female	female	Asian	0	0	Undergraduate	Heterosexual
100119	male	male	White	0	0	Undergraduate	Heterosexual
100120	female	female	Asian	0	0	Undergraduate	Heterosexual
100121	male	male	White	0	0	Undergraduate	Heterosexual
100122	male	male	Asian	0	0	Undergraduate	Heterosexual
100123	female	female	White	0	0	Undergraduate	Heterosexual
100124	female	Prefer not to say	Asian	0	0	Undergraduate	Heterosexual
100125	male	male	White	0	0	Undergraduate	Heterosexual
100126	male	male	Asian	0	0	PhD	Gay
100127	female	female		0	0	Undergraduate	Missing
100128	female	female	Asian	0	0	Undergraduate	Heterosexual
100129	female	female	Asian	0	0	Undergraduate	Heterosexual
100130	male	male	White	0	0	Undergraduate	Heterosexual
100131	male	male	White	0	0	High School	Missing
100132	male	male	White	0	0	Undergraduate	Heterosexual
100133	female	female	Two or More Races	0	0	High School	Missing
100134	male	Non-binary/third gender	Asian	1	0	Undergraduate	Heterosexual
100135	female	female	White	0	0	Undergraduate	Heterosexual
100136	male	male		0	0	Undergraduate	Heterosexual
100137	female	Prefer not to say	White	0	0	High School	Missing
100138	female	female	Asian	0	0	Undergraduate	Heterosexual
100139	female	female	White	0	0	Undergraduate	Missing
100140	female	female	Asian	0	0	Undergraduate	Heterosexual
100141	male	male	White	0	0	Some College	Other LGBTQ+
100142	male	male	Black or African American	0	0	Undergraduate	Heterosexual
100143	male	male	White	0	1	Undergraduate	Heterosexual
100144	female	female	White	0	0	Undergraduate	Heterosexual
100145	male	male		0	0	Some College	Bisexual
100146	female	female	White	0	0	Undergraduate	Heterosexual
100147	female	female	White	0	0	High School	Missing
100148	female	female	White	0	0	Undergraduate	Heterosexual
100149	female	female		0	0	Undergraduate	Heterosexual
100150	female	female		0	0	Undergraduate	Missing
100151	female	female	White	0	0	Undergraduate	Heterosexual
100152	male	male	White	0	0	Undergraduate	Heterosexual
100153	male	male	White	0	0	Undergraduate	Missing
100154	female	female	White	0	0	Undergraduate	Heterosexual
100155	male	male		0	0	Undergraduate	Heterosexual
100156	female	female	Asian	0	1	Undergraduate	Heterosexual
100157	male	male	White	0	0	Some College	Other LGBTQ+
100158	male	male	White	0	0	Some College	Bisexual
100159	male	male	White	0	0	Undergraduate	Heterosexual
100160	male	male	White	0	0	Undergraduate	Heterosexual
100161	male	male	White	0	0	Undergraduate	Missing
100162	female	female	White	0	0	High School	Missing
100163	female	female	White	0	0	Undergraduate	Missing
100164	female	female	White	0	0	Undergraduate	Heterosexual
100165	male	male	Asian	1	0	Undergraduate	Heterosexual
100166	male	male	White	0	0	Undergraduate	Heterosexual
100167	male	male	White	0	0	Undergraduate	Heterosexual
100168	male	male	White	0	0	Undergraduate	Heterosexual
100169	female	Prefer not to say	Asian	0	0	High School	Missing
100170	male	Prefer not to say	Asian	0	0	Undergraduate	Heterosexual
100171	male	Prefer to self-describe	White	0	0	High School	Missing
100172	male	male	White	0	1	PhD	Gay
100173	male	Non-binary/third gender	Asian	0	0	High School	Missing
100174	male	male	White	0	0	Undergraduate	Heterosexual
100175	female	female	Hispanic or Latino	0	0	Undergraduate	Missing
100176	male	male	Asian	0	0	High School	Missing
100177	male	male	White	0	0	Undergraduate	Heterosexual
100178	male	male		0	0	Undergraduate	Heterosexual
100179	male	male	Black or African American	0	0	Undergraduate	Heterosexual
100180	female	Prefer not to say	White	1	0	Graduate	Heterosexual
100181	male	male	White	0	0	Undergraduate	Heterosexual
100182	female	female	White	0	0	Undergraduate	Heterosexual
100183	male	male	White	0	0	Graduate	Heterosexual
100184	male	male	White	0	0	High School	Missing
100185	male	male	White	0	0	Undergraduate	Heterosexual
100186	male	Prefer not to say	White	0	0	Graduate	Heterosexual
100187	female	female	Asian	0	0	Undergraduate	Heterosexual
100188	female	female	White	0	0	Some College	Other LGBTQ+
100189	male	male	White	0	0	Undergraduate	Heterosexual
100190	female	Prefer not to say	Asian	0	1	Graduate	Heterosexual
100191	female	female	Asian	0	0	Undergraduate	Heterosexual
100192	female	female	White	0	0	Undergraduate	Heterosexual
100193	male	male	Asian	0	0	Undergraduate	Heterosexual
100194	female	female	White	0	0	Undergraduate	Heterosexual
100195	female	female	Asian	0	0	Undergraduate	Heterosexual
100196	female	female	White	1	0	Undergraduate	Heterosexual
100197	male	male	Asian	0	0	Undergraduate	Heterosexual
100198	male	male	Asian	0	0	Undergraduate	Heterosexual
100199	female	female	White	0	0	Undergraduate	Missing
100200	female	female	Asian	0	0	Undergraduate	Heterosexual
100201	male	male	White	0	0	Undergraduate	Missing
100202	male	male	Asian	0	0	Undergraduate	Missing
100203	male	male	White	0	0	PhD	Gay
100204	male	male	White	0	0	Some College	Bisexual
100205	male	male	White	0	0	Undergraduate	Heterosexual
100206	female	female	Asian	0	0	High School	Missing
100207	male	male	Asian	0	0	Undergraduate	Heterosexual
100208	male	Non-binary/third gender	White	0	0	Some College	Other LGBTQ+
100209	female	female	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100210	female	female	White	0	0	Undergraduate	Heterosexual
100211	female	female	Asian	0	0	Undergraduate	Heterosexual
100212	female	female	Asian	0	0	High School	Missing
100213	male	male	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100214	female	female	White	0	0	Undergraduate	Heterosexual
100215	female	female	White	0	0	High School	Missing
100216	male	male	White	0	1	Undergraduate	Heterosexual
100217	female	female	White	0	0	Undergraduate	Heterosexual
100218	male	male	Asian	0	0	Undergraduate	Heterosexual
100219	female	female	White	0	1	Undergraduate	Missing
100220	male	male	Asian	0	1	Undergraduate	Heterosexual
100221	female	female	White	0	0	Undergraduate	Heterosexual
100222	female	female	White	0	0	High School	Missing
100223	female	female	Asian	0	0	High School	Missing
100224	male	male	Asian	1	0	Undergraduate	Missing
100225	female	Prefer not to say	White	0	0	Graduate	Heterosexual
100226	female	female		0	0	Undergraduate	Heterosexual
100227	female	female	Black or African American	0	0	Undergraduate	Heterosexual
100228	male	male	Hispanic or Latino	0	0	High School	Missing
100229	female	female	White	0	0	Undergraduate	Heterosexual
100230	female	female	Asian	0	0	PhD	Lesbian
100231	male	male	White	0	1	Undergraduate	Heterosexual
100232	female	female	White	0	0	Undergraduate	Heterosexual
100233	male	male		0	0	PhD	Gay
100234	female	female		0	0	Undergraduate	Missing
100235	female	female	White	0	1	Undergraduate	Heterosexual
100236	female	female		0	0	Undergraduate	Heterosexual
100237	male	male		0	0	Undergraduate	Heterosexual
100238	male	male	White	0	0	Some College	Other LGBTQ+
100239	female	female	White	0	0	High School	Missing
100240	male	male	White	0	0	Undergraduate	Heterosexual
100241	male	male	Asian	0	0	Undergraduate	Heterosexual
100242	male	male	Hispanic or Latino	0	0	High School	Missing
100243	female	Prefer to self-describe	White	0	0	High School	Missing
100244	male	male	White	0	0	Undergraduate	Heterosexual
100245	male	male	White	0	0	High School	Missing
100246	male	male	White	0	0	Undergraduate	Heterosexual
100247	female	female	Hispanic or Latino	0	0	High School	Missing
100248	female	female	White	0	0	Undergraduate	Heterosexual
100249	female	female	White	0	0	Undergraduate	Heterosexual
100250	female	female	Asian	0	0	Undergraduate	Heterosexual
100251	female	female	Asian	0	0	Undergraduate	Heterosexual
100252	female	female	Asian	0	0	Some College	Lesbian
100253	male	male	Asian	0	0	Graduate	Heterosexual
100254	female	female	White	0	0	Undergraduate	Heterosexual
100255	female	female	White	0	0	Undergraduate	Missing
100256	female	female	White	0	0	Undergraduate	Heterosexual
100257	male	Prefer not to say	White	0	0	Undergraduate	Heterosexual
100258	male	male	Two or More Races	0	0	High School	Missing
100259	female	female	White	0	0	Graduate	Heterosexual
100260	female	Non-binary/third gender		0	0	Undergraduate	Heterosexual
100261	male	male	Asian	1	0	Graduate	Heterosexual
100262	female	female	White	0	0	Graduate	Heterosexual
100263	female	female	White	0	0	High School	Missing
100264	male	male	Asian	0	0	Undergraduate	Heterosexual
100265	male	male	Asian	0	0	Undergraduate	Heterosexual
100266	male	male	White	0	0	High School	Missing
100267	male	male	White	0	0	Undergraduate	Missing
100268	male	male	White	0	0	Undergraduate	Missing
100269	male	male		0	0	Undergraduate	Missing
100270	male	male	White	0	0	Undergraduate	Heterosexual
100271	female	female	White	1	0	Undergraduate	Missing
100272	female	female	White	0	0	Undergraduate	Heterosexual
100273	male	Non-binary/third gender	Black or African American	0	0	High School	Missing
100274	male	male	Asian	0	0	Undergraduate	Heterosexual
100275	female	female	White	0	0	High School	Missing
100276	male	male	Black or African American	0	0	Graduate	Heterosexual
100277	female	female	Asian	0	0	Undergraduate	Heterosexual
100278	female	female	White	0	0	Undergraduate	Heterosexual
100279	male	male	White	0	0	High School	Missing
100280	male	male	White	0	0	Some College	Other LGBTQ+
100281	female	female	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100282	female	female		0	0	High School	Missing
100283	female	female	White	0	0	High School	Missing
100284	male	male	White	0	0	Undergraduate	Missing
100285	male	male	White	0	0	Undergraduate	Heterosexual
100286	male	male	Asian	0	0	Graduate	Heterosexual
100287	male	male	Asian	0	0	High School	Missing
100288	male	male	White	0	0	Some College	Bisexual
100289	female	female	Asian	0	0	High School	Missing
100290	male	male	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100291	female	female	Asian	0	0	High School	Missing
100292	female	female	Asian	0	0	High School	Missing
100293	male	male	Asian	0	0	Some College	Other LGBTQ+
100294	female	female	White	0	0	Undergraduate	Heterosexual
100295	female	female	Asian	0	0	Undergraduate	Heterosexual
100296	female	female	Asian	0	1	High School	Missing
100297	female	female	White	1	0	Undergraduate	Heterosexual
100298	female	Prefer not to say	Black or African American	0	0	Undergraduate	Heterosexual
100299	male	male	White	0	0	Undergraduate	Heterosexual
100300	female	female		0	1	Undergraduate	Heterosexual
100301	male	male	White	0	0	High School	Missing
100302	male	male	White	0	0	Undergraduate	Heterosexual
100303	female	Non-binary/third gender	Asian	0	0	Undergraduate	Heterosexual
100304	female	female	White	0	0	High School	Missing
100305	male	male	White	0	0	Undergraduate	Heterosexual
100306	female	female	White	0	0	Undergraduate	Heterosexual
100307	male	male	White	0	1	Undergraduate	Heterosexual
100308	male	male	White	0	0	Undergraduate	Heterosexual
100309	female	female	White	0	0	Some College	Other LGBTQ+
100310	male	male	Asian	0	0	High School	Missing
100311	male	Non-binary/third gender	White	0	0	Some College	Other LGBTQ+
100312	female	female	White	0	0	Undergraduate	Missing
100313	male	male	White	0	0	Graduate	Heterosexual
100314	male	male	Asian	0	0	Undergraduate	Heterosexual
100315	male	male	White	0	0	High School	Missing
100316	female	female	White	0	0	Undergraduate	Missing
100317	female	female	White	0	0	Undergraduate	Heterosexual
100318	female	female	White	0	0	Undergraduate	Heterosexual
100319	male	male	Hispanic or Latino	0	0	Undergraduate	Missing
100320	male	male	White	0	0	High School	Missing
100321	male	male	White	0	0	Undergraduate	Heterosexual
100322	male	male	White	0	0	High School	Missing
100323	male	Non-binary/third gender	Asian	0	0	Undergraduate	Heterosexual
100324	female	female	Asian	0	1	Undergraduate	Heterosexual
100325	female	Non-binary/third gender	White	0	0	Undergraduate	Heterosexual
100326	female	female	White	0	0	Undergraduate	Heterosexual
100327	male	male	Asian	0	0	High School	Missing
100328	female	female	White	0	1	Undergraduate	Heterosexual
100329	male	male	White	0	0	Undergraduate	Heterosexual
100330	male	male	Asian	0	0	Undergraduate	Heterosexual
100331	male	male	White	0	0	Undergraduate	Heterosexual
100332	male	male	White	0	0	Undergraduate	Heterosexual
100333	female	female	Asian	0	0	High School	Missing
100334	female	female	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100335	female	female	Asian	0	0	Undergraduate	Heterosexual
100336	female	female		0	0	Undergraduate	Heterosexual
100337	male	male		0	0	Some College	Other LGBTQ+
100338	female	female	Black or African American	0	0	Undergraduate	Missing
100339	female	female	White	0	0	Undergraduate	Heterosexual
100340	female	female	White	0	0	Undergraduate	Heterosexual
100341	male	male	White	0	0	Undergraduate	Heterosexual
100342	male	male	Asian	0	0	Undergraduate	Heterosexual
100343	male	male	Hispanic or Latino	1	0	Undergraduate	Heterosexual
100344	male	male	Asian	0	0	High School	Missing
100345	female	female	Asian	0	1	Undergraduate	Heterosexual
100346	female	female	Asian	0	0	High School	Missing
100347	male	male	White	0	0	High School	Missing
100348	male	male	White	0	0	High School	Missing
100349	female	female	Hispanic or Latino	0	0	Graduate	Heterosexual
100350	male	male	White	0	0	Undergraduate	Heterosexual
100351	female	female	Black or African American	0	0	High School	Missing
100352	male	male	White	0	0	High School	Missing
100353	female	female	White	0	0	Undergraduate	Heterosexual
100354	male	male	White	0	0	Undergraduate	Heterosexual
100355	female	Prefer not to say	White	0	0	Undergraduate	Heterosexual
100356	male	male	Asian	0	0	Undergraduate	Heterosexual
100357	male	male	Asian	0	0	Undergraduate	Heterosexual
100358	male	male	White	0	0	PhD	Gay
100359	female	female	Two or More Races	0	0	Undergraduate	Heterosexual
100360	male	male	White	0	0	Some College	Bisexual
100361	male	male	Asian	0	0	High School	Missing
100362	male	male	White	0	0	Undergraduate	Heterosexual
100363	male	male	White	0	0	Some College	Other LGBTQ+
100364	male	male	White	0	0	Graduate	Heterosexual
100365	male	male	White	1	0	Undergraduate	Heterosexual
100366	female	female	Hispanic or Latino	1	0	Undergraduate	Heterosexual
100367	male	male	White	0	0	Undergraduate	Heterosexual
100368	female	female	Black or African American	0	0	Some College	Other LGBTQ+
100369	female	female	Asian	0	0	PhD	Lesbian
100370	female	female	White	0	0	Undergraduate	Heterosexual
100371	male	male	Asian	0	0	Undergraduate	Heterosexual
100372	female	female		0	0	Undergraduate	Heterosexual
100373	male	male		0	0	High School	Missing
100374	female	female	White	0	0	Undergraduate	Heterosexual
100375	female	female	White	0	0	High School	Missing
100376	male	male	White	0	0	Undergraduate	Missing
100377	male	male		0	0	Undergraduate	Heterosexual
100378	female	female		0	0	Some College	Other LGBTQ+
100379	female	female	Black or African American	0	0	Some College	Other LGBTQ+
100380	female	female	White	0	0	Undergraduate	Heterosexual
100381	female	female	White	0	0	Undergraduate	Heterosexual
100382	male	male	Asian	0	1	High School	Missing
100383	male	male	Asian	0	0	PhD	Gay
100384	female	female	Asian	0	0	Undergraduate	Heterosexual
100385	male	male	Asian	0	0	Undergraduate	Heterosexual
100386	male	male	Asian	0	0	Undergraduate	Heterosexual
100387	female	female	Asian	0	0	High School	Missing
100388	male	male	Hispanic or Latino	0	0	High School	Missing
100389	female	female	Asian	0	0	Undergraduate	Missing
100390	female	female	Asian	0	0	Undergraduate	Heterosexual
100391	female	female	Asian	0	0	Graduate	Heterosexual
100392	male	male	Black or African American	0	0	Undergraduate	Heterosexual
100393	female	female	Asian	0	0	Undergraduate	Heterosexual
100394	male	male	Black or African American	0	0	High School	Missing
100395	male	male	White	0	0	Undergraduate	Heterosexual
100396	female	female		0	0	Undergraduate	Heterosexual
100397	female	female	Black or African American	0	0	Undergraduate	Heterosexual
100398	female	Prefer to self-describe	White	0	0	Undergraduate	Heterosexual
100399	male	male	White	0	0	Undergraduate	Missing
100400	male	male	Asian	0	0	Undergraduate	Heterosexual
100401	male	Non-binary/third gender	Asian	0	1	Undergraduate	Missing
100402	female	female	Asian	0	0	Some College	Other LGBTQ+
100403	male	male	White	0	0	Undergraduate	Heterosexual
100404	male	male	Asian	0	0	Undergraduate	Heterosexual
100405	female	female	Asian	0	0	Undergraduate	Heterosexual
100406	female	female	White	0	0	Undergraduate	Heterosexual
100407	female	female	White	0	0	High School	Missing
100408	male	male	White	0	0	High School	Missing
100409	male	male	White	0	1	Undergraduate	Heterosexual
100410	female	female	White	0	0	Undergraduate	Heterosexual
100411	female	female		0	0	Undergraduate	Heterosexual
100412	female	female	Asian	0	0	High School	Missing
100413	female	female	Asian	0	0	Undergraduate	Heterosexual
100414	male	male	Asian	0	0	Undergraduate	Heterosexual
100415	male	male	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100416	male	male	Asian	0	0	Undergraduate	Heterosexual
100417	male	male	White	0	0	Undergraduate	Heterosexual
100418	male	male	Asian	0	0	High School	Missing
100419	female	female	White	0	1	High School	Missing
100420	male	male	White	0	1	Graduate	Heterosexual
100421	male	male	White	0	0	Undergraduate	Heterosexual
100422	female	female	Black or African American	0	0	Graduate	Heterosexual
100423	female	female	Asian	0	0	High School	Missing
100424	female	female	White	0	0	Undergraduate	Missing
100425	female	female	Asian	0	0	High School	Missing
100426	female	female	Asian	0	0	High School	Missing
100427	male	male	White	0	0	Undergraduate	Heterosexual
100428	male	male	Black or African American	0	0	Undergraduate	Missing
100429	male	male	White	0	0	Undergraduate	Missing
100430	female	female	White	0	0	Graduate	Heterosexual
100431	female	female	White	0	0	Undergraduate	Heterosexual
100432	male	male	White	1	0	Undergraduate	Heterosexual
100433	male	Prefer to self-describe	White	0	0	Undergraduate	Heterosexual
100434	female	female	White	0	0	Undergraduate	Heterosexual
100435	male	male	White	0	0	Some College	Other LGBTQ+
100436	female	female	Native Hawaiian or Pacific Islander	0	0	Undergraduate	Heterosexual
100437	female	female	White	0	0	Undergraduate	Heterosexual
100438	female	female	White	1	0	Undergraduate	Heterosexual
100439	female	female	Asian	0	0	High School	Missing
100440	male	male	White	0	0	Undergraduate	Heterosexual
100441	female	female	White	0	0	High School	Missing
100442	male	male	Asian	0	0	Some College	Bisexual
100443	female	female	Hispanic or Latino	0	0	High School	Missing
100444	male	male	White	0	0	High School	Missing
100445	male	male	White	0	0	Undergraduate	Heterosexual
100446	female	female	White	0	0	High School	Missing
100447	female	female	White	0	0	Undergraduate	Heterosexual
100448	male	male	Asian	1	0	Undergraduate	Heterosexual
100449	male	male	White	0	0	Undergraduate	Missing
100450	male	male	White	1	0	High School	Missing
100451	female	female	White	0	0	Graduate	Heterosexual
100452	female	female	White	0	0	Undergraduate	Heterosexual
100453	female	female	White	0	0	Undergraduate	Heterosexual
100454	male	male	Asian	0	0	Undergraduate	Missing
100455	female	female	Asian	0	0	Undergraduate	Heterosexual
100456	male	male		0	0	Undergraduate	Missing
100457	female	female	Asian	0	0	Undergraduate	Heterosexual
100458	female	Prefer to self-describe	White	0	0	Some College	Bisexual
100459	female	female	White	0	0	Undergraduate	Heterosexual
100460	female	female	White	0	0	Undergraduate	Heterosexual
100461	female	female	White	0	0	Some College	Other LGBTQ+
100462	female	female		0	0	High School	Missing
100463	male	male	White	0	1	Undergraduate	Missing
100464	male	male	Black or African American	0	0	Undergraduate	Missing
100465	female	Prefer not to say	Asian	0	0	Undergraduate	Missing
100466	female	female	White	0	0	Graduate	Heterosexual
100467	male	male	White	0	0	Undergraduate	Heterosexual
100468	male	male	White	0	0	Undergraduate	Heterosexual
100469	male	male	White	0	0	Undergraduate	Heterosexual
100470	female	female	Asian	0	0	Graduate	Heterosexual
100471	female	female	White	0	0	Undergraduate	Heterosexual
100472	female	female	White	0	0	Graduate	Heterosexual
100473	male	male	White	0	0	Undergraduate	Heterosexual
100474	male	male	White	0	0	High School	Missing
100475	female	female		0	0	Undergraduate	Heterosexual
100476	male	male	White	0	0	Undergraduate	Heterosexual
100477	male	male	White	0	0	Undergraduate	Heterosexual
100478	female	female	White	0	0	Undergraduate	Heterosexual
100479	male	male	Black or African American	0	0	Undergraduate	Heterosexual
100480	male	male	White	0	0	Undergraduate	Heterosexual
100481	female	female	Asian	0	0	Undergraduate	Heterosexual
100482	female	female	White	0	0	Some College	Other LGBTQ+
100483	female	female		0	0	Undergraduate	Heterosexual
100484	female	female	Asian	0	0	High School	Missing
100485	male	male	Asian	0	0	Undergraduate	Heterosexual
100486	female	female	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100487	male	male	Asian	0	0	Undergraduate	Heterosexual
100488	female	female	White	0	0	Undergraduate	Missing
100489	female	female	White	0	0	Undergraduate	Heterosexual
100490	male	male	Asian	0	0	Undergraduate	Missing
100491	male	male	White	0	0	High School	Missing
100492	male	male	White	0	0	Undergraduate	Heterosexual
100493	male	male	White	0	0	Undergraduate	Heterosexual
100494	female	female	Asian	1	0	Undergraduate	Heterosexual
100495	female	female	Black or African American	0	0	Some College	Other LGBTQ+
100496	female	female	White	0	1	Undergraduate	Heterosexual
100497	male	male	Asian	0	0	High School	Missing
100498	male	male	White	0	0	High School	Missing
100499	female	female	White	0	1	High School	Missing
100500	female	female	Asian	0	0	High School	Missing
100501	female	Non-binary/third gender	White	0	0	Undergraduate	Heterosexual
100502	female	female	Asian	0	0	Graduate	Heterosexual
100503	female	female	White	0	0	High School	Missing
100504	female	female	White	0	0	Graduate	Heterosexual
100505	female	female		0	0	Undergraduate	Heterosexual
100506	female	female	White	0	0	High School	Missing
100507	male	Prefer not to say	White	0	0	Undergraduate	Heterosexual
100508	female	female	White	0	0	Undergraduate	Heterosexual
100509	male	male	White	0	0	Undergraduate	Heterosexual
100510	male	male	White	0	0	Undergraduate	Heterosexual
100511	male	male		0	0	Some College	Other LGBTQ+
100512	female	female	White	1	0	Undergraduate	Missing
100513	male	Non-binary/third gender	Black or African American	0	0	High School	Missing
100514	female	female	Black or African American	0	0	Undergraduate	Heterosexual
100515	male	male	White	0	0	Some College	Gay
100516	male	male	White	1	0	High School	Missing
100517	male	male	Hispanic or Latino	0	0	Undergraduate	Heterosexual
100518	female	female	White	0	0	Undergraduate	Heterosexual
100519	male	male	White	0	0	Undergraduate	Heterosexual
100520	female	female	Asian	0	0	Undergraduate	Heterosexual
100521	female	female	White	0	1	Undergraduate	Missing
100522	female	female	White	0	0	Undergraduate	Missing
100523	female	female	Asian	0	0	Undergraduate	Heterosexual
