PerfID,EmpID,Rating,PerfDate
71,83,3,31/Dec/2015
72,84,4,31/Dec/2015
73,85,3,31/Dec/2015
74,87,2,31/Dec/2015
75,88,1,31/Dec/2015
76,89,3,31/Dec/2015
77,90,4,31/Dec/2015
78,91,3,31/Dec/2015
79,92,3,31/Dec/2015
80,93,3,31/Dec/2015
81,94,3,31/Dec/2015
82,95,2,31/Dec/2015
83,96,2,31/Dec/2015
84,97,3,31/Dec/2015
85,98,3,31/Dec/2015
86,99,3,31/Dec/2015
87,100,5,31/Dec/2015
88,102,3,31/Dec/2015
89,103,4,31/Dec/2015
90,104,3,31/Dec/2015
91,105,4,31/Dec/2015
92,106,3,31/Dec/2015
93,107,5,31/Dec/2015
94,108,3,31/Dec/2015
95,109,1,31/Dec/2015
96,110,1,31/Dec/2015
97,111,3,31/Dec/2015
98,112,4,31/Dec/2015
99,113,5,31/Dec/2015
100,114,3,31/Dec/2015
101,115,3,31/Dec/2015
102,117,2,31/Dec/2015
103,118,3,31/Dec/2015
104,119,3,31/Dec/2015
105,120,5,31/Dec/2015
106,121,1,31/Dec/2015
107,122,2,31/Dec/2015
108,123,4,31/Dec/2015
109,124,4,31/Dec/2015
110,125,3,31/Dec/2015
111,126,4,31/Dec/2015
112,128,4,31/Dec/2015
113,129,1,31/Dec/2015
114,130,4,31/Dec/2015
115,131,2,31/Dec/2015
116,132,3,31/Dec/2015
117,133,3,31/Dec/2015
118,134,1,31/Dec/2015
119,135,3,31/Dec/2015
120,136,4,31/Dec/2015
121,137,2,31/Dec/2015
122,138,5,31/Dec/2015
123,139,3,31/Dec/2015
124,140,3,31/Dec/2015
125,141,2,31/Dec/2015
126,142,2,31/Dec/2015
127,143,4,31/Dec/2015
128,144,4,31/Dec/2015
129,145,4,31/Dec/2015
130,146,4,31/Dec/2015
131,147,4,31/Dec/2015
132,148,1,31/Dec/2015
133,149,3,31/Dec/2015
134,150,3,31/Dec/2015
135,151,4,31/Dec/2015
136,152,4,31/Dec/2015
137,153,2,31/Dec/2015
138,155,3,31/Dec/2015
139,156,4,31/Dec/2015
140,157,2,31/Dec/2015
141,158,5,31/Dec/2015
142,160,4,31/Dec/2015
143,161,3,31/Dec/2015
144,162,3,31/Dec/2015
145,163,3,31/Dec/2015
146,164,3,31/Dec/2015
147,165,3,31/Dec/2015
148,166,3,31/Dec/2015
149,167,3,31/Dec/2015
150,168,3,31/Dec/2015
151,170,4,31/Dec/2015
152,172,4,31/Dec/2015
153,173,2,31/Dec/2015
154,174,1,31/Dec/2015
155,175,1,31/Dec/2015
156,176,5,31/Dec/2015
157,177,4,31/Dec/2015
158,178,2,31/Dec/2015
159,179,2,31/Dec/2015
160,180,4,31/Dec/2015
161,181,2,31/Dec/2015
162,182,5,31/Dec/2015
163,184,4,31/Dec/2015
164,185,2,31/Dec/2015
165,186,1,31/Dec/2015
166,187,1,31/Dec/2015
167,188,1,31/Dec/2015
168,189,2,31/Dec/2015
169,190,2,31/Dec/2015
170,191,3,31/Dec/2015
171,192,3,31/Dec/2015
172,193,3,31/Dec/2015
173,194,4,31/Dec/2015
174,197,4,31/Dec/2015
175,199,4,31/Dec/2015
176,200,2,31/Dec/2015
177,202,3,31/Dec/2015
178,204,3,31/Dec/2015
179,205,5,31/Dec/2015
180,206,2,31/Dec/2015
181,207,3,31/Dec/2015
182,208,4,31/Dec/2015
183,209,3,31/Dec/2015
184,210,3,31/Dec/2015
185,211,3,31/Dec/2015
186,212,5,31/Dec/2015
187,214,3,31/Dec/2015
188,218,4,31/Dec/2015
189,219,2,31/Dec/2015
190,220,4,31/Dec/2015
191,221,4,31/Dec/2015
192,222,3,31/Dec/2015
193,223,3,31/Dec/2015
194,224,4,31/Dec/2015
195,225,3,31/Dec/2015
196,226,3,31/Dec/2015
197,227,3,31/Dec/2015
198,228,3,31/Dec/2015
199,229,4,31/Dec/2015
200,230,2,31/Dec/2015
201,232,5,31/Dec/2015
202,233,1,31/Dec/2015
203,234,3,31/Dec/2015
204,235,3,31/Dec/2015
205,240,3,31/Dec/2015
206,241,3,31/Dec/2015
207,242,4,31/Dec/2015
208,243,3,31/Dec/2015
209,244,5,31/Dec/2015
210,245,4,31/Dec/2015
211,246,5,31/Dec/2015
212,247,3,31/Dec/2015
213,248,4,31/Dec/2015
214,249,5,31/Dec/2015
215,250,4,31/Dec/2015
216,251,3,31/Dec/2015
217,252,1,31/Dec/2015
218,253,3,31/Dec/2015
219,255,3,31/Dec/2015
220,256,2,31/Dec/2015
221,257,3,31/Dec/2015
222,258,2,31/Dec/2015
223,259,4,31/Dec/2015
224,260,3,31/Dec/2015
225,261,3,31/Dec/2015
226,262,1,31/Dec/2015
227,264,4,31/Dec/2015
228,265,3,31/Dec/2015
229,266,2,31/Dec/2015
230,267,2,31/Dec/2015
231,268,4,31/Dec/2015
232,269,3,31/Dec/2015
233,270,3,31/Dec/2015
234,271,2,31/Dec/2015
235,272,5,31/Dec/2015
236,273,4,31/Dec/2015
237,274,3,31/Dec/2015
238,275,2,31/Dec/2015
239,276,4,31/Dec/2015
240,278,3,31/Dec/2015
241,281,2,31/Dec/2015
242,283,3,31/Dec/2015
243,285,5,31/Dec/2015
244,287,4,31/Dec/2015
245,288,5,31/Dec/2015
246,289,4,31/Dec/2015
247,290,2,31/Dec/2015
248,291,3,31/Dec/2015
249,292,4,31/Dec/2015
250,293,4,31/Dec/2015
251,294,2,31/Dec/2015
252,295,4,31/Dec/2015
253,296,3,31/Dec/2015
254,297,2,31/Dec/2015
255,298,3,31/Dec/2015
256,299,5,31/Dec/2015
257,301,1,31/Dec/2015
258,302,2,31/Dec/2015
259,303,3,31/Dec/2015
260,304,4,31/Dec/2015
261,305,2,31/Dec/2015
262,306,3,31/Dec/2015
263,307,3,31/Dec/2015
264,308,3,31/Dec/2015
265,309,4,31/Dec/2015
266,310,4,31/Dec/2015
267,311,3,31/Dec/2015
268,312,2,31/Dec/2015
269,313,1,31/Dec/2015
270,314,3,31/Dec/2015
271,315,5,31/Dec/2015
272,316,3,31/Dec/2015
273,319,3,31/Dec/2015
274,320,2,31/Dec/2015
275,321,3,31/Dec/2015
276,322,4,31/Dec/2015
277,323,2,31/Dec/2015
278,324,5,31/Dec/2015
279,325,4,31/Dec/2015
280,326,3,31/Dec/2015
281,327,4,31/Dec/2015
282,328,3,31/Dec/2015
283,329,2,31/Dec/2015
284,332,3,31/Dec/2015
285,333,3,31/Dec/2015
286,334,3,31/Dec/2015
287,335,4,31/Dec/2015
288,336,3,31/Dec/2015
289,337,1,31/Dec/2015
290,338,5,31/Dec/2015
291,340,3,31/Dec/2015
292,341,3,31/Dec/2015
293,343,3,31/Dec/2015
294,344,4,31/Dec/2015
295,345,1,31/Dec/2015
296,346,4,31/Dec/2015
297,348,1,31/Dec/2015
298,349,1,31/Dec/2015
299,350,3,31/Dec/2015
300,352,3,31/Dec/2015
301,353,2,31/Dec/2015
302,354,2,31/Dec/2015
303,355,3,31/Dec/2015
304,356,3,31/Dec/2015
305,358,2,31/Dec/2015
306,359,3,31/Dec/2015
307,361,3,31/Dec/2015
308,362,4,31/Dec/2015
309,364,3,31/Dec/2015
310,366,2,31/Dec/2015
311,367,3,31/Dec/2015
312,371,1,31/Dec/2015
313,372,5,31/Dec/2015
314,374,3,31/Dec/2015
315,375,1,31/Dec/2015
316,376,2,31/Dec/2015
317,377,3,31/Dec/2015
318,378,3,31/Dec/2015
319,379,5,31/Dec/2015
320,381,3,31/Dec/2015
321,382,2,31/Dec/2015
322,383,4,31/Dec/2015
323,384,2,31/Dec/2015
324,385,1,31/Dec/2015
325,387,4,31/Dec/2015
326,388,4,31/Dec/2015
327,389,1,31/Dec/2015
328,390,4,31/Dec/2015
329,393,5,31/Dec/2015
330,395,3,31/Dec/2015
331,396,3,31/Dec/2015
332,397,1,31/Dec/2015
333,399,3,31/Dec/2015
334,400,3,31/Dec/2015
335,402,4,31/Dec/2015
336,403,2,31/Dec/2015
337,404,2,31/Dec/2015
338,406,5,31/Dec/2015
339,407,3,31/Dec/2015
340,408,2,31/Dec/2015
341,409,5,31/Dec/2015
342,411,1,31/Dec/2015
343,414,3,31/Dec/2015
344,415,3,31/Dec/2015
345,416,2,31/Dec/2015
346,417,3,31/Dec/2015
347,418,2,31/Dec/2015
348,419,4,31/Dec/2015
349,420,1,31/Dec/2015
350,421,2,31/Dec/2015
351,422,2,31/Dec/2015
352,423,1,31/Dec/2015
353,425,1,31/Dec/2015
354,426,3,31/Dec/2015
355,427,1,31/Dec/2015
356,428,2,31/Dec/2015
357,432,2,31/Dec/2015
358,433,3,31/Dec/2015
359,434,5,31/Dec/2015
360,435,3,31/Dec/2015
361,436,3,31/Dec/2015
362,437,3,31/Dec/2015
363,438,3,31/Dec/2015
364,439,4,31/Dec/2015
365,440,3,31/Dec/2015
366,441,3,31/Dec/2015
367,442,2,31/Dec/2015
368,443,3,31/Dec/2015
369,445,3,31/Dec/2015
370,446,4,31/Dec/2015
371,447,2,31/Dec/2015
372,448,3,31/Dec/2015
373,449,5,31/Dec/2015
374,451,1,31/Dec/2015
375,452,3,31/Dec/2015
376,454,2,31/Dec/2015
377,455,3,31/Dec/2015
378,456,4,31/Dec/2015
379,457,3,31/Dec/2015
380,458,3,31/Dec/2015
381,459,3,31/Dec/2015
382,460,3,31/Dec/2015
383,463,5,31/Dec/2015
384,464,3,31/Dec/2015
385,466,2,31/Dec/2015
386,467,3,31/Dec/2015
387,468,3,31/Dec/2015
388,469,4,31/Dec/2015
389,470,1,31/Dec/2015
390,471,3,31/Dec/2015
391,472,1,31/Dec/2015
392,473,2,31/Dec/2015
393,474,1,31/Dec/2015
394,475,3,31/Dec/2015
395,476,4,31/Dec/2015
396,477,4,31/Dec/2015
397,479,4,31/Dec/2015
398,480,2,31/Dec/2015
399,481,5,31/Dec/2015
400,482,2,31/Dec/2015
401,483,4,31/Dec/2015
402,484,2,31/Dec/2015
403,485,3,31/Dec/2015
404,486,3,31/Dec/2015
405,489,3,31/Dec/2015
406,490,3,31/Dec/2015
407,491,2,31/Dec/2015
408,492,2,31/Dec/2015
409,493,3,31/Dec/2015
410,494,2,31/Dec/2015
411,495,4,31/Dec/2015
412,496,4,31/Dec/2015
413,498,3,31/Dec/2015
414,499,4,31/Dec/2015
415,500,2,31/Dec/2015
416,501,3,31/Dec/2015
417,502,4,31/Dec/2015
418,503,3,31/Dec/2015
419,504,2,31/Dec/2015
420,505,4,31/Dec/2015
421,507,2,31/Dec/2015
422,508,4,31/Dec/2015
423,509,4,31/Dec/2015
424,510,3,31/Dec/2015
425,511,4,31/Dec/2015
426,512,5,31/Dec/2015
427,515,3,31/Dec/2015
428,516,3,31/Dec/2015
429,518,4,31/Dec/2015
430,519,4,31/Dec/2015
431,521,3,31/Dec/2015
432,522,5,31/Dec/2015
433,523,4,31/Dec/2015
434,524,5,31/Dec/2015
435,525,3,31/Dec/2015
436,526,1,31/Dec/2015
437,527,5,31/Dec/2015
438,528,2,31/Dec/2015
439,529,4,31/Dec/2015
440,530,2,31/Dec/2015
441,532,2,31/Dec/2015
442,533,2,31/Dec/2015
443,534,5,31/Dec/2015
444,535,3,31/Dec/2015
445,536,2,31/Dec/2015
446,537,2,31/Dec/2015
447,538,3,31/Dec/2015
448,540,1,31/Dec/2015
449,541,3,31/Dec/2015
450,542,4,31/Dec/2015
451,543,2,31/Dec/2015
452,544,2,31/Dec/2015
453,545,5,31/Dec/2015
454,546,3,31/Dec/2015
455,547,3,31/Dec/2015
456,548,3,31/Dec/2015
457,549,3,31/Dec/2015
458,550,3,31/Dec/2015
459,551,3,31/Dec/2015
460,552,3,31/Dec/2015
461,553,3,31/Dec/2015
462,554,5,31/Dec/2015
463,556,5,31/Dec/2015
464,557,3,31/Dec/2015
465,558,3,31/Dec/2015
466,559,3,31/Dec/2015
467,560,1,31/Dec/2015
468,561,2,31/Dec/2015
469,562,3,31/Dec/2015
470,563,3,31/Dec/2015
471,564,4,31/Dec/2015
472,566,2,31/Dec/2015
473,567,4,31/Dec/2015
474,568,3,31/Dec/2015
475,569,3,31/Dec/2015
476,570,2,31/Dec/2015
477,572,4,31/Dec/2015
478,573,4,31/Dec/2015
479,574,2,31/Dec/2015
480,575,3,31/Dec/2015
481,576,2,31/Dec/2015
482,577,3,31/Dec/2015
483,578,4,31/Dec/2015
484,579,4,31/Dec/2015
485,580,3,31/Dec/2015
486,581,5,31/Dec/2015
487,582,3,31/Dec/2015
488,583,2,31/Dec/2015
489,584,1,31/Dec/2015
490,585,2,31/Dec/2015
491,586,3,31/Dec/2015
492,587,4,31/Dec/2015
493,588,3,31/Dec/2015
494,590,5,31/Dec/2015
495,591,2,31/Dec/2015
496,592,4,31/Dec/2015
497,593,3,31/Dec/2015
498,594,5,31/Dec/2015
499,595,5,31/Dec/2015
500,596,4,31/Dec/2015
501,597,5,31/Dec/2015
502,598,5,31/Dec/2015
503,601,3,31/Dec/2015
504,603,3,31/Dec/2015
505,604,1,31/Dec/2015
506,605,3,31/Dec/2015
507,606,3,31/Dec/2015
508,607,2,31/Dec/2015
509,609,3,31/Dec/2015
510,610,3,31/Dec/2015
511,611,4,31/Dec/2015
512,612,3,31/Dec/2015
513,614,5,31/Dec/2015
514,615,3,31/Dec/2015
515,616,1,31/Dec/2015
516,619,2,31/Dec/2015
517,620,3,31/Dec/2015
518,621,4,31/Dec/2015
519,625,1,31/Dec/2015
520,626,3,31/Dec/2015
521,628,4,31/Dec/2015
522,629,4,31/Dec/2015
523,632,1,31/Dec/2015
524,633,3,31/Dec/2015
525,634,1,31/Dec/2015
526,635,5,31/Dec/2015
527,636,4,31/Dec/2015
528,638,4,31/Dec/2015
529,639,3,31/Dec/2015
530,640,5,31/Dec/2015
531,642,3,31/Dec/2015
532,643,3,31/Dec/2015
533,645,2,31/Dec/2015
534,646,2,31/Dec/2015
535,647,4,31/Dec/2015
536,648,3,31/Dec/2015
537,651,1,31/Dec/2015
538,653,3,31/Dec/2015
539,654,2,31/Dec/2015
540,655,3,31/Dec/2015
541,656,5,31/Dec/2015
542,657,1,31/Dec/2015
543,658,4,31/Dec/2015
544,659,1,31/Dec/2015
545,660,2,31/Dec/2015
546,661,1,31/Dec/2015
547,663,5,31/Dec/2015
548,664,2,31/Dec/2015
549,665,3,31/Dec/2015
550,666,3,31/Dec/2015
551,667,4,31/Dec/2015
552,668,3,31/Dec/2015
553,669,3,31/Dec/2015
554,671,4,31/Dec/2015
555,672,3,31/Dec/2015
556,673,3,31/Dec/2015
557,676,4,31/Dec/2015
558,677,2,31/Dec/2015
559,678,3,31/Dec/2015
560,679,2,31/Dec/2015
561,680,1,31/Dec/2015
562,681,3,31/Dec/2015
563,683,3,31/Dec/2015
564,686,3,31/Dec/2015
565,687,3,31/Dec/2015
566,689,3,31/Dec/2015
567,691,3,31/Dec/2015
568,692,3,31/Dec/2015
569,693,2,31/Dec/2015
570,694,3,31/Dec/2015
571,695,4,31/Dec/2015
572,696,3,31/Dec/2015
573,697,1,31/Dec/2015
574,700,3,31/Dec/2015
575,701,3,31/Dec/2015
576,702,3,31/Dec/2015
577,703,3,31/Dec/2015
578,704,3,31/Dec/2015
579,705,4,31/Dec/2015
580,708,3,31/Dec/2015
581,709,3,31/Dec/2015
582,710,3,31/Dec/2015
583,711,3,31/Dec/2015
584,712,2,31/Dec/2015
585,714,2,31/Dec/2015
586,715,3,31/Dec/2015
587,716,5,31/Dec/2015
588,717,1,31/Dec/2015
589,718,3,31/Dec/2015
590,719,3,31/Dec/2015
591,720,5,31/Dec/2015
592,721,2,31/Dec/2015
593,722,3,31/Dec/2015
594,723,1,31/Dec/2015
595,725,3,31/Dec/2015
596,726,2,31/Dec/2015
597,727,3,31/Dec/2015
598,728,4,31/Dec/2015
599,729,3,31/Dec/2015
600,730,1,31/Dec/2015
601,731,2,31/Dec/2015
602,732,3,31/Dec/2015
603,733,2,31/Dec/2015
604,734,5,31/Dec/2015
605,735,1,31/Dec/2015
606,736,1,31/Dec/2015
607,737,5,31/Dec/2015
608,738,3,31/Dec/2015
609,739,5,31/Dec/2015
610,740,4,31/Dec/2015
611,741,2,31/Dec/2015
612,742,2,31/Dec/2015
613,745,3,31/Dec/2015
614,746,3,31/Dec/2015
615,747,3,31/Dec/2015
616,749,3,31/Dec/2015
617,750,3,31/Dec/2015
618,751,3,31/Dec/2015
619,752,3,31/Dec/2015
620,753,3,31/Dec/2015
621,755,2,31/Dec/2015
622,758,1,31/Dec/2015
623,759,3,31/Dec/2015
624,762,2,31/Dec/2015
625,763,3,31/Dec/2015
626,764,4,31/Dec/2015
627,765,3,31/Dec/2015
628,766,3,31/Dec/2015
629,767,3,31/Dec/2015
630,768,2,31/Dec/2015
631,769,5,31/Dec/2015
632,770,2,31/Dec/2015
633,773,4,31/Dec/2015
634,775,5,31/Dec/2015
635,776,2,31/Dec/2015
636,777,4,31/Dec/2015
637,778,4,31/Dec/2015
638,780,3,31/Dec/2015
639,781,4,31/Dec/2015
640,782,2,31/Dec/2015
641,783,5,31/Dec/2015
642,785,2,31/Dec/2015
643,786,3,31/Dec/2015
644,787,3,31/Dec/2015
645,788,3,31/Dec/2015
646,789,5,31/Dec/2015
647,790,4,31/Dec/2015
648,791,5,31/Dec/2015
649,792,4,31/Dec/2015
650,793,1,31/Dec/2015
651,796,5,31/Dec/2015
652,797,2,31/Dec/2015
653,798,4,31/Dec/2015
654,802,2,31/Dec/2015
655,803,2,31/Dec/2015
656,805,3,31/Dec/2015
657,806,3,31/Dec/2015
658,807,3,31/Dec/2015
659,808,1,31/Dec/2015
660,809,4,31/Dec/2015
661,810,1,31/Dec/2015
662,811,3,31/Dec/2015
663,812,3,31/Dec/2015
664,813,3,31/Dec/2015
665,814,3,31/Dec/2015
666,815,3,31/Dec/2015
667,817,4,31/Dec/2015
668,818,3,31/Dec/2015
669,819,2,31/Dec/2015
670,820,3,31/Dec/2015
671,821,3,31/Dec/2015
672,822,2,31/Dec/2015
673,823,3,31/Dec/2015
674,824,1,31/Dec/2015
675,825,3,31/Dec/2015
676,826,3,31/Dec/2015
677,827,4,31/Dec/2015
678,828,1,31/Dec/2015
679,829,5,31/Dec/2015
680,831,4,31/Dec/2015
681,833,2,31/Dec/2015
682,834,4,31/Dec/2015
683,835,2,31/Dec/2015
684,836,2,31/Dec/2015
685,837,3,31/Dec/2015
686,838,2,31/Dec/2015
687,839,5,31/Dec/2015
688,840,2,31/Dec/2015
689,841,1,31/Dec/2015
690,842,5,31/Dec/2015
691,843,2,31/Dec/2015
692,844,3,31/Dec/2015
693,845,2,31/Dec/2015
694,846,5,31/Dec/2015
695,849,3,31/Dec/2015
696,850,3,31/Dec/2015
697,851,3,31/Dec/2015
698,852,2,31/Dec/2015
699,853,3,31/Dec/2015
700,854,4,31/Dec/2015
701,855,5,31/Dec/2015
702,856,4,31/Dec/2015
703,857,3,31/Dec/2015
704,858,5,31/Dec/2015
705,859,3,31/Dec/2015
706,860,5,31/Dec/2015
707,861,3,31/Dec/2015
708,862,3,31/Dec/2015
709,863,2,31/Dec/2015
710,865,1,31/Dec/2015
711,866,3,31/Dec/2015
712,867,5,31/Dec/2015
713,868,3,31/Dec/2015
714,870,5,31/Dec/2015
715,871,2,31/Dec/2015
716,872,4,31/Dec/2015
717,873,5,31/Dec/2015
718,874,2,31/Dec/2015
719,875,1,31/Dec/2015
720,876,4,31/Dec/2015
721,877,2,31/Dec/2015
722,878,3,31/Dec/2015
723,879,4,31/Dec/2015
724,880,1,31/Dec/2015
725,881,3,31/Dec/2015
726,882,3,31/Dec/2015
727,883,3,31/Dec/2015
728,884,3,31/Dec/2015
729,885,5,31/Dec/2015
730,886,3,31/Dec/2015
731,887,1,31/Dec/2015
732,888,3,31/Dec/2015
733,889,3,31/Dec/2015
734,891,4,31/Dec/2015
735,892,3,31/Dec/2015
736,893,4,31/Dec/2015
737,895,3,31/Dec/2015
738,896,5,31/Dec/2015
739,897,4,31/Dec/2015
740,898,1,31/Dec/2015
741,899,2,31/Dec/2015
742,900,4,31/Dec/2015
743,901,3,31/Dec/2015
744,902,3,31/Dec/2015
745,903,2,31/Dec/2015
746,904,3,31/Dec/2015
747,905,3,31/Dec/2015
748,907,5,31/Dec/2015
749,908,1,31/Dec/2015
750,910,5,31/Dec/2015
751,912,3,31/Dec/2015
752,913,1,31/Dec/2015
753,914,3,31/Dec/2015
754,915,1,31/Dec/2015
755,916,3,31/Dec/2015
756,917,1,31/Dec/2015
757,920,1,31/Dec/2015
758,921,4,31/Dec/2015
759,922,2,31/Dec/2015
760,923,3,31/Dec/2015
761,924,3,31/Dec/2015
762,927,4,31/Dec/2015
763,928,2,31/Dec/2015
764,929,2,31/Dec/2015
765,930,2,31/Dec/2015
766,931,3,31/Dec/2015
767,932,5,31/Dec/2015
768,933,2,31/Dec/2015
769,934,3,31/Dec/2015
770,935,5,31/Dec/2015
771,936,4,31/Dec/2015
772,938,2,31/Dec/2015
773,939,3,31/Dec/2015
774,940,3,31/Dec/2015
775,944,3,31/Dec/2015
776,945,1,31/Dec/2015
777,946,4,31/Dec/2015
778,950,4,31/Dec/2015
779,952,2,31/Dec/2015
780,954,3,31/Dec/2015
781,955,3,31/Dec/2015
782,956,3,31/Dec/2015
783,957,4,31/Dec/2015
784,959,3,31/Dec/2015
785,961,3,31/Dec/2015
786,962,3,31/Dec/2015
787,963,2,31/Dec/2015
788,964,2,31/Dec/2015
789,965,5,31/Dec/2015
790,966,4,31/Dec/2015
791,968,2,31/Dec/2015
792,969,4,31/Dec/2015
793,971,1,31/Dec/2015
794,972,5,31/Dec/2015
795,973,2,31/Dec/2015
796,974,1,31/Dec/2015
797,975,3,31/Dec/2015
798,976,3,31/Dec/2015
799,977,3,31/Dec/2015
800,978,1,31/Dec/2015
801,979,4,31/Dec/2015
802,980,5,31/Dec/2015
803,981,3,31/Dec/2015
804,983,3,31/Dec/2015
805,984,3,31/Dec/2015
806,985,4,31/Dec/2015
807,987,3,31/Dec/2015
808,988,3,31/Dec/2015
809,989,2,31/Dec/2015
810,990,4,31/Dec/2015
811,991,5,31/Dec/2015
812,992,2,31/Dec/2015
813,994,3,31/Dec/2015
814,995,3,31/Dec/2015
815,996,4,31/Dec/2015
816,997,3,31/Dec/2015
817,998,4,31/Dec/2015
818,1000,2,31/Dec/2015
819,1001,3,31/Dec/2015
820,1002,3,31/Dec/2015
821,1003,2,31/Dec/2015
822,1004,3,31/Dec/2015
823,1005,3,31/Dec/2015
824,1006,5,31/Dec/2015
825,1007,2,31/Dec/2015
826,1008,3,31/Dec/2015
827,1009,2,31/Dec/2015
828,1010,1,31/Dec/2015
829,1011,3,31/Dec/2015
830,1012,5,31/Dec/2015
831,1013,3,31/Dec/2015
832,1014,2,31/Dec/2015
833,1015,5,31/Dec/2015
834,1016,3,31/Dec/2015
835,1017,2,31/Dec/2015
836,1018,3,31/Dec/2015
837,1019,2,31/Dec/2015
838,1020,5,31/Dec/2015
839,1021,4,31/Dec/2015
840,1022,2,31/Dec/2015
841,1023,3,31/Dec/2015
842,1024,3,31/Dec/2015
843,1025,4,31/Dec/2015
844,1026,3,31/Dec/2015
845,1028,3,31/Dec/2015
846,1029,1,31/Dec/2015
847,1030,3,31/Dec/2015
848,1031,3,31/Dec/2015
849,1032,5,31/Dec/2015
850,1033,3,31/Dec/2015
851,1034,1,31/Dec/2015
852,1035,2,31/Dec/2015
853,1036,3,31/Dec/2015
854,1037,3,31/Dec/2015
855,1038,4,31/Dec/2015
856,1039,2,31/Dec/2015
857,1040,2,31/Dec/2015
858,1041,3,31/Dec/2015
859,1042,2,31/Dec/2015
860,1043,3,31/Dec/2015
861,1044,3,31/Dec/2015
862,1045,3,31/Dec/2015
863,1046,4,31/Dec/2015
864,1047,2,31/Dec/2015
865,1048,3,31/Dec/2015
866,1049,2,31/Dec/2015
867,1050,2,31/Dec/2015
868,1051,5,31/Dec/2015
869,1,4,31/Dec/2016
870,2,5,31/Dec/2016
871,3,3,31/Dec/2016
872,4,3,31/Dec/2016
873,5,4,31/Dec/2016
874,6,5,31/Dec/2016
875,7,3,31/Dec/2016
876,8,3,31/Dec/2016
877,10,2,31/Dec/2016
878,11,5,31/Dec/2016
879,12,3,31/Dec/2016
880,13,4,31/Dec/2016
881,14,3,31/Dec/2016
882,15,3,31/Dec/2016
883,16,4,31/Dec/2016
884,17,2,31/Dec/2016
885,18,4,31/Dec/2016
886,19,3,31/Dec/2016
887,20,3,31/Dec/2016
888,21,3,31/Dec/2016
889,22,5,31/Dec/2016
890,23,3,31/Dec/2016
891,24,5,31/Dec/2016
892,25,4,31/Dec/2016
893,26,5,31/Dec/2016
894,27,4,31/Dec/2016
895,28,5,31/Dec/2016
896,29,4,31/Dec/2016
897,30,5,31/Dec/2016
898,31,1,31/Dec/2016
899,32,4,31/Dec/2016
900,33,1,31/Dec/2016
901,34,2,31/Dec/2016
902,35,4,31/Dec/2016
903,36,5,31/Dec/2016
904,38,4,31/Dec/2016
905,39,4,31/Dec/2016
906,41,4,31/Dec/2016
907,42,2,31/Dec/2016
908,43,5,31/Dec/2016
909,44,4,31/Dec/2016
910,45,3,31/Dec/2016
911,46,3,31/Dec/2016
912,47,4,31/Dec/2016
913,48,3,31/Dec/2016
914,49,4,31/Dec/2016
915,50,3,31/Dec/2016
916,51,3,31/Dec/2016
917,52,3,31/Dec/2016
918,53,5,31/Dec/2016
919,54,3,31/Dec/2016
920,55,4,31/Dec/2016
921,56,4,31/Dec/2016
922,57,2,31/Dec/2016
923,58,5,31/Dec/2016
924,59,4,31/Dec/2016
925,60,3,31/Dec/2016
926,61,3,31/Dec/2016
927,62,4,31/Dec/2016
